Model,RMSE,MAE,R^2
Random Forest,223739.53494015132,119453.70220338985,0.5044975063947632
Support Vector Machine,327317.3209349386,193034.84791651272,-0.060469929014915325
Linear Regression,328690.3217812876,228932.47913203447,-0.06938531368606893
XGBoost,932997.5052656893,180347.765625,-7.616311073303223
