Model,RMSE,MAE,R^2
Random Forest,240248.7695587819,119966.76582229072,0.4286756600964833
Linear Regression,323966.59542300936,223833.71016949153,-0.03886914134427433
Support Vector Machine,327303.16785567603,193020.68750096462,-0.06037822234673085
XGBoost,381109.31270407146,128650.9114150225,-0.4376709461212158
